position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs,year
1,"DeChambeau, Bryson",-6,-3.0,1.089,1.245,1.902,1.333,4.479,5.568,314.0,0.5178575,0.63889,29.212452631578948,54.46212692307692,0.5806451612903225,8.75,4.0,3.234,2020
2,"Wolff, Matthew",0,5.0,0.609,0.871,1.793,0.795,3.46,4.068,302.375,0.375,0.5972225,26.93784,56.30941481481481,0.6060606060606061,6.75,2.5,2.588,2020
3,"Oosthuizen, Louis",2,3.0,1.511,0.857,1.092,0.108,2.057,3.568,293.425,0.517855,0.5972225,38.9784744680851,69.45129130434783,0.6451622580645161,6.0,4.0,1.2,2020
4,"English, Harris",3,3.0,1.235,1.546,0.285,0.253,2.084,3.318,290.925,0.57143,0.5416675,31.583210416666667,80.6339,0.6666666666666666,5.0,2.5,0.537,2020
5,"Schauffele, Xander",4,4.0,1.485,1.436,0.158,-0.01,1.584,3.068,293.725,0.392855,0.5416675,34.754886842105265,67.87571333333334,0.5882352941176471,5.5,2.5,0.148,2020
T6,"Johnson, Dustin",5,0.0,0.063,0.454,1.847,0.454,2.755,2.818,295.7,0.55357,0.583335,29.926777272727275,54.33719230769231,0.5312503125,5.5,3.5,2.301,2020
T6,"Zalatoris, Will",5,1.0,0.074,0.384,1.649,0.712,2.745,2.818,304.95,0.3928574999999999,0.5277775,25.57192093023256,68.75683571428573,0.5454539393939394,6.25,4.0,2.361,2020
T8,"McIlroy, Rory",6,5.0,0.714,0.377,0.022,1.455,1.854,2.568,303.575,0.607145,0.6527775,34.583619148936165,75.129615,0.4838722580645161,7.0,4.25,1.477,2020
T8,"Thomas, Justin",6,2.0,1.149,1.195,0.466,-0.242,1.419,2.568,285.95000000000005,0.4285725,0.5138875,30.199202272727277,64.26608333333334,0.5428585714285714,5.0,3.5,0.223,2020
T8,"Simpson, Webb",6,3.0,1.79,1.162,-0.51,0.127,0.779,2.568,289.225,0.4642874999999999,0.48611,35.355428205128206,62.76908275862069,0.7368423684210526,2.5,3.75,-0.383,2020
T8,"Finau, Tony",6,1.0,-0.619,0.699,1.841,0.648,3.188,2.568,300.05,0.4464275,0.597225,29.25215135135135,60.3118,0.4571417142857142,5.75,3.75,2.489,2020
T8,"Johnson, Zach",6,4.0,2.369,0.303,0.147,-0.252,0.199,2.568,286.425,0.4821425,0.5416675,34.67594347826087,90.08803846153846,0.7333333333333333,5.5,5.0,-0.104,2020
T13,"Hovland, Viktor",7,5.0,0.173,0.585,1.081,0.479,2.145,2.318,296.55,0.64286,0.65278,29.11496888888889,66.38043913043478,0.56250125,4.25,5.0,1.56,2020
T13,"Reed, Patrick",7,4.0,1.254,0.075,1.641,-0.653,1.064,2.318,284.0,0.42857,0.5,33.81130857142857,62.730628125,0.59091,6.75,5.0,0.988,2020
T13,"Long, Adam",7,3.0,0.974,0.887,0.154,0.304,1.345,2.318,286.9,0.5892850000000001,0.5138875,30.111225,92.65615909090909,0.64706,4.5,3.25,0.458,2020
T13,"Westwood, Lee",7,2.0,0.336,0.663,0.476,0.843,1.982,2.318,297.825,0.5535725,0.5416650000000001,32.01647608695652,67.45459545454545,0.5428574285714285,6.0,4.25,1.319,2020
T17,"Noren, Alex",8,5.0,1.615,0.027,0.971,-0.544,0.454,2.068,287.725,0.5178575,0.5555575,33.241928205128204,79.20989285714285,0.5,5.5,4.0,0.427,2020
T17,"Casey, Paul",8,3.0,0.0,0.234,1.184,0.65,2.068,2.068,292.925,0.5357149999999999,0.555555,36.18364166666667,44.18758095238096,0.5294129411764706,5.75,4.5,1.834,2020
T17,"Glover, Lucas",8,5.0,1.729,-0.638,0.515,0.462,0.34,2.068,290.425,0.57143,0.61111,35.7160375,79.97986666666667,0.5833313888888889,4.5,3.75,0.977,2020
T17,"Kokrak, Jason",8,2.0,1.575,-0.503,0.124,0.872,0.493,2.068,297.925,0.5178575,0.5555575,32.20286046511628,79.62463333333334,0.4736857894736842,6.0,4.0,0.996,2020
T17,"Matsuyama, Hideki",8,8.0,-1.096,0.506,1.761,0.897,3.164,2.068,297.775,0.607145,0.583335,30.062911111111116,61.85347777777778,0.5294138235294118,5.75,6.0,2.659,2020
22,"Im, Sungjae",9,1.0,-0.137,-0.096,1.445,0.606,1.955,1.818,292.05,0.607145,0.6666675,31.08521489361702,67.48853157894736,0.406249375,5.25,5.5,2.051,2020
T23,"Rahm, Jon",10,3.0,0.221,-0.269,0.62,0.996,1.347,1.568,301.275,0.4464275,0.5833325,30.45194090909091,72.131304,0.4473673684210526,5.25,3.5,1.616,2020
T23,"Cabrera Bello, Rafa",10,8.0,2.026,0.373,-0.384,-0.447,-0.457,1.568,289.425,0.5357149999999999,0.4999975,36.86848510638298,102.84566666666666,0.5833336111111111,5.25,4.25,-0.831,2020
T23,"Todd, Brendon",10,5.0,1.578,-0.141,0.437,-0.305,-0.009,1.568,282.125,0.6785725,0.5,39.31313962264151,76.6024,0.5555558333333334,5.25,4.5,0.131,2020
T23,"Pendrith, Taylor",10,0.0,0.269,0.612,-0.384,1.071,1.3,1.568,306.675,0.4107125,0.4722225,32.343435897435896,72.6002935483871,0.5121963414634146,7.75,5.25,0.688,2020
