position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs
1,"Scheffler, Scottie",-11,0,0.663,1.171,1.274,1.11,3.555,4.209,310.8,0.625,0.65278,35.307182352941176,96.85834,0.6153838461538461,3.25,3.25,2.385
T2,"English, Harris",-6,-6,0.203,0.212,1.988,0.565,2.765,2.959,308.375,0.5535725,0.76389,33.39966939,49.41663333333334,0.593752188,3.5,2,2.553
T2,"DeChambeau, Bryson",-6,-1,0.734,0.559,0.071,1.605,2.235,2.959,331.275,0.464285,0.63889,34.86880212765958,81.81667333333334,0.6499985,5,2,1.676
T2,"Riley, Davis",-6,1,1.331,0.589,0.558,0.49,1.638,2.959,308.35,0.57143,0.5972225,35.73238846153846,61.29762857142857,0.7631576315789473,3.75,3.25,1.048
T5,"Poston, J.T.",-5,2,1.109,0.106,1.381,0.122,1.609,2.709,297.225,0.7142850000000001,0.666665,36.135431249999996,48.18055,0.5675713513513514,3.5,2.5,1.504
T5,"Pendrith, Taylor",-5,-3,0.266,0.32,0.804,1.329,2.452,2.709,319.5,0.6250025,0.6666675,43.893306,64.52975,0.5675683783783784,4.5,2.75,2.133
T5,"Vegas, Jhonattan",-5,1,0.26,0.802,1.105,0.551,2.458,2.709,314.6,0.607145,0.6250025,38.170002,61.36363636363637,0.6749992499999999,3.75,3,1.656
T8,"Rahm, Jon",-4,2,0.96,-0.161,0.615,1.054,1.508,2.459,320.525,0.5357149999999999,0.63889,32.33875434782608,60.5208375,0.5499995000000001,3.25,1.75,1.669
T8,"Kim, Si Woo",-4,2,1.699,0.233,0.759,-0.223,0.769,2.459,298.5,0.6249975,0.5416675000000001,39.078,47.708349999999996,0.5306132653061224,4.25,1.75,0.536
T8,"McCarthy, Denny",-4,-1,1.4,1.003,-0.054,0.119,1.069,2.459,302.7,0.5892875,0.569445,43.15625208333333,50.416672727272726,0.6304339130434783,4,3.25,0.065
T8,"Fitzpatrick, Matt",-4,1,0.451,0.573,1.531,-0.087,2.018,2.459,308.05,0.5535725,0.6527775,39.437495454545456,51.86668,0.6216224324324324,3.75,3.25,1.445
T8,"Griffin, Ben",-4,-2,1.134,0.259,0.894,0.181,1.334,2.459,312.525,0.5178575,0.597225,35.801271794871795,65.26136818181817,0.6744174418604651,4.5,2.5,1.075
