position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs
1,"Scheffler, Scottie",-11,-4,0.455,1.966,0.779,1.372,4.117,4.572,313.325,0.7857125,0.63889,38.839959649122804,50.37893,0.6578963157894737,4.75,3.25,2.151
2,"Aberg, Ludvig",-7,-3,1.998,-0.575,0.876,1.273,1.574,3.572,316.525,0.7857125,0.61111,36.02533442622951,114.07691666666666,0.6666666666666667,5.25,3.5,2.149
T3,"Fleetwood, Tommy",-4,-3,0.579,0.724,0.992,0.528,2.243,2.822,298.925,0.8392825,0.63889,43.82917813,95.64200000000001,0.656250938,2.75,2.25,1.52
T3,"Homa, Max",-4,1,0.705,0.515,1.07,0.533,2.118,2.822,302.45,0.80357,0.7083325,38.58820333333333,40.796324999999996,0.5769215384615385,2.75,2.25,1.603
T3,"Morikawa, Collin",-4,2,0.847,0.152,1.346,0.478,1.975,2.822,299.6,0.82143,0.694445,35.18652,77.136275,0.64706,4,3.25,1.824
T6,"Smith, Cameron",-2,-1,1.062,1.514,-0.092,-0.163,1.26,2.322,297.275,0.69643,0.5972225,42.23845344827586,68.37861666666666,0.7941170588235295,2.75,3,-0.254
T6,"DeChambeau, Bryson",-2,1,0.408,-0.282,0.498,1.699,1.914,2.322,320.825,0.75,0.61111,40.454746428571426,68.5848,0.5384625641025641,5.75,2.75,2.197
8,"Schauffele, Xander",-1,1,0.408,0.272,1.228,0.165,1.665,2.072,307.375,0.64286,0.625,36.564941818181815,62.5002,0.6756745945945947,3,2.5,1.393
T9,"Hatton, Tyrrell",0,-3,0.118,1.116,0.4,0.189,1.705,1.822,306.275,0.69643,0.5416650000000001,45.46614032258065,88.97793333333334,0.756755946,5.5,4.5,0.589
T9,"Zalatoris, Will",0,-3,-0.461,0.463,1.272,0.548,2.282,1.822,302.27500000000003,0.75,0.597225,38.63150701754385,55.79756666666667,0.4857154285714286,3.75,4.5,1.82
T9,"Young, Cameron",0,1,0.75,-0.706,0.572,1.206,1.072,1.822,311,0.7500025,0.680555,42.85858644067797,45.64732222222222,0.47222333333333333,4.75,4.25,1.778
T12,"Schenk, Adam",1,1,0.513,0.276,0.406,0.377,1.059,1.572,303.9,0.6964275,0.6666675,42.917616949152546,67.44968333333333,0.6428592857142856,3,3,0.783
T12,"Reed, Patrick",1,0,0.949,1.181,0.021,-0.579,0.624,1.572,297.275,0.6964325,0.47222000000000003,43.88467543859649,76.74564545454545,0.7446778723404256,3.75,4.75,-0.557
T12,"Davis, Cam",1,3,0.759,-0.23,0.9,0.145,0.813,1.572,295.275,0.80357,0.583335,38.94289464285714,74.1912,0.6578942105263157,3.25,4,1.044
T12,"Pavon, Matthieu",1,0,0.257,0.681,-0.402,1.036,1.316,1.572,309.525,0.80357,0.6388875,38.19899516129032,89.0467,0.6666684848484848,2.75,3,0.635
T16,"Kirk, Chris",2,1,0.969,-0.152,0.645,-0.139,0.354,1.322,306.775,0.732145,0.625,34.13180313,59.86413333333333,0.599999,3.75,4.75,0.506
T16,"An, Byeong Hun",2,3,-0.966,0.962,0.453,0.873,2.288,1.322,316.75,0.6785725,0.6111125,40.39881818181818,61.647891666666666,0.5526326315789474,5.5,6,1.326
T16,"Straka, Sepp",2,0,-0.475,0.075,0.935,0.787,1.797,1.322,301.325,0.80357,0.6666675,39.062266666666666,82.49080000000001,0.5714271428571428,2,3.5,1.722
T16,"Hojgaard, Nicolai",2,4,0.509,0.987,-0.41,0.235,0.813,1.322,314.4,0.6607149999999999,0.541665,36.89830892857143,65.15722727272728,0.6571434285714286,4.25,4.5,-0.174
T20,"Glover, Lucas",3,3,0.752,-0.521,0.669,0.172,0.321,1.072,294.125,0.8214275,0.5833325,39.34246349206349,71.3497875,0.6060615151515152,3.75,4.5,0.841
T20,"Moore, Taylor",3,-2,-0.042,0.67,0.093,0.352,1.114,1.072,308.175,0.69643,0.625,50.04386481481481,42.37828,0.5384625641025641,2,3.25,0.445
T22,"McIlroy, Rory",4,1,0.153,-0.394,0.091,0.972,0.67,0.822,316.05,0.6428575,0.5138900000000001,37.65094035087719,79.65575714285714,0.6428571428571429,4,3.75,1.063
T22,"English, Harris",4,-1,0.119,0.782,-0.212,0.133,0.703,0.822,296.475,0.7857125,0.569445,45.48232,59.91981428571428,0.6097587804878049,2.75,4.75,-0.079
T22,"Niemann, Joaquin",4,1,-0.322,0.044,0.694,0.406,1.144,0.822,311.025,0.69643,0.63889,37.81073333333333,37.7930375,0.533335,4.75,5.75,1.1
T22,"Fitzpatrick, Matt",4,3,1.622,-0.514,-0.646,0.36,-0.8,0.822,304.29999999999995,0.75,0.583335,42.90844745762712,91.48562000000001,0.6315778947368421,3.5,4.25,-0.286
T22,"Cantlay, Patrick",4,4,-0.679,0.37,0.978,0.155,1.502,0.822,310.925,0.75,0.597225,34.83323484848485,52.046571428571426,0.6451606451612903,2.5,3.75,1.132
T22,"Bradley, Keegan",4,-3,0.527,-0.542,1.184,-0.347,0.295,0.822,304.25,0.6250025,0.63889,30.716494915254238,55.51979090909091,0.3928546428571429,3.75,4.75,0.837
T22,"Scott, Adam",4,0,0.152,0.255,0.984,-0.569,0.67,0.822,303.875,0.6250025,0.597225,36.15318275862069,85.17589,0.5714271428571429,3.75,5.25,0.415
T22,"Lee, Min Woo",4,-3,0,-0.63,0.135,1.317,0.822,0.822,316.075,0.7857125,0.625,41.65067857142857,46.192275,0.4523792857142857,4,2.75,1.452
T30,"Day, Jason",5,-3,0.283,1.004,-0.185,-0.531,0.289,0.572,302.5,0.6250025,0.5833325,39.086298039215684,56.71969230769231,0.6578915789473685,3.25,3.75,-0.716
T30,"Kim, Si Woo",5,-2,0.077,0.162,-0.574,0.907,0.495,0.572,299.175,0.8749975,0.5833325,40.95324561403508,80.28779999999999,0.6666674358974358,2.75,4.5,0.333
T30,"Poston, J.T.",5,-2,-0.006,0.304,-0.11,0.384,0.579,0.572,299.725,0.7857149999999999,0.583335,47.547083050847455,64.72711818181818,0.54054,4,4.75,0.275
T30,"Fowler, Rickie",5,0,0.188,0.718,0.69,-1.023,0.385,0.572,292.05,0.6607175,0.597225,38.193714285714286,56.033661538461544,0.5483870967741935,3,3.25,-0.333
