position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs
1,"Scheffler, Scottie",-17,-3,2.131,-0.416,2.545,0.067,2.196,4.326,301.35,0.46428749999999996,0.777775,24.56790925925926,66.38195,0.7619047619047619,5.25,3,2.612
2,"English, Harris",-13,-5,2.097,0.217,1.476,-0.463,1.23,3.326,290.2,0.5178575,0.72222,32.86602941176471,69.361125,0.7500003571428572,5.25,3.75,1.013
3,"Gotterup, Chris",-12,-4,1.399,-0.191,0.308,1.56,1.677,3.076,308.125,0.5535725,0.75,36.86903469387755,51.711106666666666,0.555555926,3.75,1.5,1.868
T4,"Fitzpatrick, Matt",-11,-2,0.288,1.159,0.771,0.608,2.539,2.826,296.1,0.5892875,0.708335,38.96294259259259,61.79488461538462,0.6071432142857143,5.5,4,1.379
T4,"Li, Haotong",-11,-1,0.487,0.04,2.197,0.103,2.34,2.826,299.75,0.5357149999999999,0.805555,31.316980392156864,40.10116428571429,0.5454536363636363,4.5,3.25,2.3
T4,"Clark, Wyndham",-11,-6,1.624,0.199,1.129,-0.126,1.203,2.826,295.5982456140351,0.57143,0.73611,26.802073214285713,52.37962222222222,0.8000005000000001,4.75,2.75,1.003
T7,"McIlroy, Rory",-10,-2,1.176,0.321,0.58,0.5,1.4,2.576,308.65,0.39285749999999997,0.7500025,35.79900392156863,57.01850555555555,0.6956530434782608,6,3,1.08
T7,"Schauffele, Xander",-10,-3,0.336,0.499,0.729,1.012,2.24,2.576,303.29999999999995,0.5178575,0.75,36.614411764705885,61.85295882352941,0.608695652,4.75,2.75,1.741
T7,"MacIntyre, Robert",-10,-4,0.224,0.697,-0.042,1.696,2.353,2.576,301.15,0.6607125,0.6527775,35.73064464285714,79.93334,0.6571422857142857,4.75,2,1.655
T10,"DeChambeau, Bryson",-9,-7,0.897,-0.749,0.517,1.663,1.43,2.326,316.2263157894737,0.5,0.7638874999999999,35.55926923076923,51.79859999999999,0.45161096774193543,5.5,3,2.179
T10,"Conners, Corey",-9,-5,-0.289,0.742,1.29,0.583,2.615,2.326,295.77500000000003,0.625,0.7222225,29.495525,87.80952857142857,0.6153865384615385,4.5,3.75,1.873
T10,"Harman, Brian",-9,-3,0.367,-0.441,1.16,1.241,1.959,2.326,294.425,0.64286,0.75,36.13273703703703,36.8542,0.6129035483870968,3.25,2.25,2.4
T10,"Henley, Russell",-9,-3,0.969,0.017,0.734,0.607,1.357,2.326,291.55,0.6607149999999999,0.72222,35.64240727272727,47.91665714285714,0.6071407142857143,4.5,2.25,1.34
T14,"Fowler, Rickie",-8,-6,0.795,0.679,0.007,0.595,1.281,2.076,298.125,0.5178575,0.63889,34.709915384615385,62.981477777777776,0.6551734482758621,4.75,3.75,0.602
T14,"Hojgaard, Nicolai",-8,-2,0.36,0.613,0.814,0.29,1.716,2.076,305.1754385964912,0.44643,0.7361125,33.28084444444444,43.80301818181818,0.7857160714285715,5.25,3,1.103
T16,"Fleetwood, Tommy",-7,-4,1.635,-0.095,-0.346,0.632,0.191,1.826,295.6,0.5714275,0.652775,35.955224074074074,99.83332499999999,0.6249984375000001,2.5,2.25,0.286
T16,"Matsuyama, Hideki",-7,-5,1.264,-0.156,0.386,0.332,0.562,1.826,295.425,0.5535725,0.7222225,34.13303157894737,62.39814444444444,0.566667,4.5,3.25,0.718
T16,"Hatton, Tyrrell",-7,1,-0.01,-0.345,1.511,0.67,1.836,1.826,302.55,0.5178575,0.7777775,32.13485818181818,60.59089090909091,0.5909077272727272,4.5,2,2.181
T16,"Rose, Justin",-7,-2,0.53,0.948,-0.171,0.521,1.297,1.826,297.6017543859649,0.5535725,0.708335,34.48180727272727,75.82499,0.687500313,5,3.5,0.349
T16,"Hojgaard, Rasmus",-7,-1,1.536,-0.42,0.753,-0.043,0.289,1.826,296.6877192982456,0.5178575,0.6666675,35.67177346938775,63.71081176470589,0.718750938,4.5,3.75,0.71
T16,"Svensson, Jesper",-7,-5,-0.688,0.544,0.354,1.616,2.514,1.826,308.25,0.625,0.6944425,37.23091458333333,42.73436875,0.5806422580645161,6.25,3.25,1.971
