Feature,Coefficient,Std_Error,t_value,p_value,CI_lower,CI_upper
const,2.377167630057805,0.08421176865324859,28.22844915947627,1.3864536524596842e-138,2.2119697564240104,2.5423655036915997
distance,-0.7157906556601074,0.09687540824447259,-7.3887756307953225,2.5654923598098324e-13,-0.9058307380064281,-0.5257505733137866
accuracy,-0.9402503152232626,0.1037685765932756,-9.061031249456232,4.338320219175148e-19,-1.1438126970300175,-0.7366879334165077
sg_ott,-0.44173778069637637,0.11545830754542664,-3.825950597124215,0.00013612676007749075,-0.6682318587200593,-0.2152437026726935
sg_app,-0.6863818200431548,0.1155850671880876,-5.938326089530487,3.644053148615746e-09,-0.9131245619265934,-0.4596390781597163
prox_fw,0.3402318623588604,0.110571234144792,3.0770377575177457,0.0021321081848102775,0.12332473574337571,0.557138988974345
prox_rgh,0.5784063854633577,0.0903314413029743,6.403156831333685,2.0857772261740162e-10,0.40120357564027187,0.7556091952864434
sg_arg,-1.1080632389183005,0.10234111733532701,-10.827155963987208,2.857130597539766e-26,-1.3088253798812493,-0.9073010979553517
scrambling,-1.8364348010872602,0.11446238820154167,-16.044002138534147,3.216318572107123e-53,-2.0609751883079626,-1.6118944138665576
sg_putt,-1.9560110577314038,0.11450089955006607,-17.082931797196306,1.8126710701254714e-59,-2.1806269925031048,-1.7313951229597029
gir,-3.772835319214802,0.11028205169969128,-34.21078281612495,5.828772466949209e-186,-3.989175157839702,-3.5564954805899016
great_shots,-0.266639328911657,0.11409772765819164,-2.3369381177374713,0.019585757738593387,-0.4904643630727697,-0.04281429475054427
poor_shots,0.9920310199497495,0.11870907226514262,8.35682564963526,1.5609748453875076e-16,0.7591599303994228,1.2249021095000763
