,PGA Championship,US Open,The Masters,The Open Championship
distance,-0.5527921387213532,-2.6201070784003466,0.062328830420821824,-2.709900556798213
accuracy,-1.31269146524451,-2.1029748026784967,-0.2457200836610628,-0.2239803313206346
sg_ott,-0.48481543901845436,0.11250238227396439,-1.7879181658098022,-1.5266591666870322
sg_app,-0.5979989223727467,-2.358040164900417,-2.2096865182264183,-2.464415081874192
prox_fw,0.8772380190173281,0.25675802598981284,0.45351220517499957,-0.2957880309903085
prox_rgh,0.1299362202297181,0.15337319748542577,-0.04406714208417874,-0.2863639771673116
sg_arg,-1.6320555772707375,-2.0337839780500797,-2.2140447181295024,-1.9305771722315674
scrambling,-1.1520266752974695,-0.7242400609125842,-0.5012077245904903,-0.4222954656859563
sg_putt,-2.251643630494076,-3.124343720230772,-2.6879408895237495,-3.3821772241839243
gir,-3.266734429213032,-1.0685618740299831,-1.059730052036517,-2.9506929542329936
great_shots,-0.0652541133044374,0.288892908583144,-0.3901346654180367,0.815414772336461
poor_shots,0.5725309552951772,0.4010233098371733,0.2616956210199556,0.11863165222245092
