Feature,Coefficient,Std_Error,t_value,p_value,CI_lower,CI_upper
const,1.9632352941176463,0.09899716813034304,19.831226803708,7.193952735589899e-54,1.7682934804584156,2.158177107776877
distance,0.062328830420821824,0.17091438123183084,0.3646786769585999,0.715648857713653,-0.27422988218710054,0.3988875430287442
accuracy,-0.2457200836610628,0.1523214277262528,-1.6131682018019362,0.10792569582946432,-0.5456661926348394,0.05422602531271381
sg_ott,-1.7879181658098022,0.18949279675608732,-9.435283010315096,2.344468365787471e-18,-2.161060854359793,-1.4147754772598116
sg_app,-2.2096865182264183,0.15036603913173915,-14.695382886892837,5.753781887917799e-36,-2.505782143330584,-1.9135908931222527
prox_fw,0.45351220517499957,0.12034063103264547,3.7685709413637096,0.00020335028906538058,0.216541579515155,0.6904828308348441
prox_rgh,-0.04406714208417874,0.10433784925392124,-0.4223504931267557,0.6731196044915269,-0.2495256410594498,0.16139135689109235
sg_arg,-2.2140447181295024,0.13178993038362477,-16.799801864108147,2.4197263397239544e-43,-2.473560909715725,-1.9545285265432801
scrambling,-0.5012077245904903,0.1404430111249349,-3.568762308468503,0.00042728292664289747,-0.7777632647288835,-0.22465218445209728
sg_putt,-2.6879408895237495,0.14434016045938566,-18.622266186825257,1.0628797152728968e-49,-2.9721705618995258,-2.4037112171479733
gir,-1.059730052036517,0.13902922791552344,-7.622354435287717,4.716374002190073e-13,-1.33350161897478,-0.785958485098254
great_shots,-0.3901346654180367,0.1333037160068476,-2.9266600894906496,0.0037305039484092474,-0.6526317515132191,-0.12763757932285436
poor_shots,0.2616956210199556,0.13934197540695592,1.8780817499942792,0.061493463088726906,-0.012691797506273639,0.5360830395461849
