Feature,Coefficient,Std_Error,t_value,p_value,CI_lower,CI_upper
const,-0.33980582524271874,0.10859710390043024,-3.1290505274825517,0.0019285810174340045,-0.55352609069962,-0.12608555978581748
distance,-2.709900556798213,0.22388128058037116,-12.104185529818718,1.1413628131143713e-27,-3.1505013186779998,-2.2692997949184264
accuracy,-0.2239803313206346,0.1503584559809496,-1.4896424006177138,0.13738301366054834,-0.5198873856689876,0.07192672302771841
sg_ott,-1.5266591666870322,0.16238087774653898,-9.401717664502351,1.5306569317421162e-18,-1.8462264760411948,-1.2070918573328695
sg_app,-2.464415081874192,0.1866708112221121,-13.201930530756004,1.318083211484552e-31,-2.831785240879757,-2.097044922868627
prox_fw,-0.2957880309903085,0.1512169018578966,-1.9560513894688176,0.05139942055530521,-0.5933845160335142,0.0018084540528972015
prox_rgh,-0.2863639771673116,0.1203232837153553,-2.379954804464555,0.017947998378559465,-0.5231614902931648,-0.04956646404145837
sg_arg,-1.9305771722315674,0.13720755985518604,-14.070486890585114,8.804181506164855e-35,-2.200603121927523,-1.660551222535612
scrambling,-0.4222954656859563,0.16310502000567254,-2.589101584189558,0.010098140198600551,-0.743287894774366,-0.10130303659754653
sg_putt,-3.3821772241839243,0.1503486835346252,-22.49555596145284,4.948113735663862e-66,-3.6780650462530766,-3.086289402114772
gir,-2.9506929542329936,0.24747358045990783,-11.923264490493857,4.969071914968136e-27,-3.4377236153632835,-2.4636622931027037
great_shots,0.815414772336461,0.14698289333887735,5.547684861914347,6.425304885819359e-08,0.526150861479223,1.104678683193699
poor_shots,0.11863165222245092,0.17699061229132093,0.6702708730516564,0.5032077195484239,-0.22968777144249947,0.4669510758874013
