Feature,Importance
sg_app,0.23145339618264488
sg_putt,0.15095706075936582
sg_ott,0.10655240664269673
gir,0.09781880712974304
poor_shots,0.09453138452935775
scrambling,0.09135664305893404
sg_arg,0.09019170747606088
great_shots,0.041048890765438405
distance,0.02912399169272146
prox_fw,0.028480997512979576
prox_rgh,0.016833913382610345
accuracy,0.01580444246301973
major_PGA Championship,0.0020122396583392268
major_US Open,0.0015701617685709587
major_The Masters,0.0011841412250179466
major_The Open Championship,0.0010798157524993467
