Feature,SHAP_The_Masters,Rank_The_Masters,SHAP_PGA_Championship,Rank_PGA_Championship,SHAP_The_Open_Championship,Rank_The_Open_Championship,SHAP_US_Open,Rank_US_Open
distance,0.016940456994614043,10,0.02814433239375838,8,0.011663316560680852,10,0.011681886318320794,11
accuracy,0.02138177713863673,9,0.013497473977623808,10,0.015111128676595226,9,0.011870751029767786,10
sg_ott,0.051042199314856755,5,0.06149254456516229,3,0.06281225577849224,3,0.05407499293915015,5
sg_app,0.12434427677492856,1,0.10957146352039408,1,0.09569498233214094,1,0.11359814976496026,1
prox_fw,0.010853206307887733,11,0.012096887322026907,11,0.011528967984566083,11,0.013184583887759517,9
prox_rgh,0.006875165027685475,12,0.004588389157800068,12,0.0061536370818043125,12,0.00586234107321559,12
sg_arg,0.05516252874052505,3,0.05396528059638997,5,0.04972136209380111,5,0.058691784977977,3
scrambling,0.04825008115615853,6,0.03760249497648431,7,0.045893770038686846,7,0.051894257460132036,6
sg_putt,0.07343274548469753,2,0.07307845963948575,2,0.07699096196208595,2,0.07936886145345606,2
gir,0.03501463603044394,7,0.045241151207730715,6,0.04792839505613831,6,0.03202193216232477,7
great_shots,0.030044845687998062,8,0.026598985021054206,9,0.02995893165434036,8,0.031365465432039295,8
poor_shots,0.05149849307164481,4,0.05987820260406116,4,0.0552966015981444,4,0.05571127817554213,4
