Feature,RF_Importance,RF_Rank,XGB_Importance,XGB_Rank,SHAP_Importance,SHAP_Rank
sg_app,0.18389864650158394,1,0.19662441,1,0.10986563352592255,1
sg_putt,0.14194761127653227,2,0.14351308,2,0.07576978599728146,2
sg_ott,0.10398399395117801,3,0.14199339,3,0.05787639657790033,3
sg_arg,0.09521249900076163,4,0.102957256,4,0.05426311004750286,5
scrambling,0.08875583731194489,5,0.09020032,5,0.045541535454802454,6
poor_shots,0.08209710010444006,7,0.048036866,6,0.05592438630020377,4
gir,0.08367828737097095,6,0.045064345,7,0.04057815998337914,7
great_shots,0.04849152841050385,8,0.03778726,9,0.029383831358708472,8
distance,0.043610062864883885,10,0.036786977,10,0.0173686748065,9
accuracy,0.036670878939289234,11,0.04141823,8,0.015107588737711971,10
prox_fw,0.044233891747107956,9,0.028645873,11,0.01196806042456196,11
prox_rgh,0.03214366750277305,12,0.019425243,14,0.0057855271889850415,12
